sentence1,sentence2,score
"Changes to implement the framework into detailed regulations are currently underway and are expected to be effective January 1, 2020, with an optional phase-in period and early adoption permitted.","Revised regulations to implement the updated framework were adopted by the NAIC in the summer of 2019 and became effective January 1, 2020, with an optional phase-in period and early adoption permitted.",0
"Our strategy includes leveraging our electronic trading platform to enter new markets, such as our recent entry into the municipal bond and leveraged loan markets.","Our strategy includes leveraging our electronic trading platforms to enter new markets, including new asset classes, products and geographies, including markets where we have little or no operating experience.",1
"For example, ExxonMobil is working with Fuel Cell Energy Inc. to explore using carbonate fuel cells to economically capture CO2 emissions from gas-fired power plants.","For example, ExxonMobil is launching an innovative relationship with the U.S. Department of Energy’s National Laboratory network to bring low-emission energy breakthroughs to commercial scale.",0
Those investments are subject to price fluctuations as a result of changes in the financial market’s assessment of credit quality.,Those investments are subject to price fluctuations.,0
"The Surface Transportation Extension Act of 2015 amended the Rail Safety Improvement Act to require implementation of PTC by the end of 2018, which deadline may be extended to December 31, 2020, provided certain other criteria are satisfied.","For example, enacted federal legislation mandated the implementation of PTC by December 31, 2020.",0
Disruptions in global credit and financial markets could materially and adversely affect our business and results of operations.,Political and economic uncertainty as well as disruptions in global credit and financial markets could materially and adversely affect our business and results of operations.,0
"•Threatened or actual terrorist incidents, acts of war and other global political conditions.","•Threatened or actual terrorist incidents, acts of war and other global political conditions, and public health issues and outbreaks.",0
The Company's subsidiaries operate 111 manufacturing facilities as well as sourcing from hundreds of suppliers around the world.,The Company's subsidiaries operate 97 manufacturing facilities as well as sourcing from hundreds of suppliers around the world.,1
"In addition, our headquarters is located in Northern California, an area susceptible to earthquakes.","Our headquarters is located in Northern California, an area susceptible to earthquakes and wildfires.",1
"We continue to take steps to maintain and improve data security and address these risks and uncertainties by implementing and improving internal controls, security technologies, insurance programs, network and data center resiliency and recovery processes.","We have a response plan in place in the event of a data breach and we continue to take steps to maintain and improve data security and address these risks and uncertainties by implementing and improving internal controls, security technologies, insurance programs, network and data center resiliency and recovery processes.",0
"The U.K. is currently negotiating the terms of its exit from the European Union (“Brexit”) scheduled for March 29, 2019.",The U.K. is currently negotiating the terms of its exit from the European Union (“Brexit”).,1
"Any combination of reduced carrier capacity, pricing volatility or more limited carrier transportation schedules could negatively impact our ability to maintain historical profitability.","Any combination of reduced carrier capacity or availability, pricing volatility or more limited carrier transportation schedules, such as those caused by the Novel Coronavirus, could negatively impact our ability to execute services and maintain historical profitability.",0
The commitments accepted by the EC are binding for 10 years with the possibility of renewal by the EC.,The commitments accepted by the EC are binding for 10 years.,0
These actions may restrict us from participating in the China market or may prevent us from competing effectively with Chinese companies.,"These actions, in conjunction with trade tensions, may restrict us from participating in the China market or may prevent us from competing effectively.",0
"International sales, as a percent of net revenue, were 80% in 2018.","International sales, as a percent of net revenue, were 74% for the year ended December 28, 2019.",1
"Any issues with the quality or effectiveness of our data aggregation and validation procedures, as well as the quality and integrity of data inputs, could result in ineffective risk management practices or inaccurate risk reporting.","Any issues with the quality or effectiveness of our data aggregation and validation procedures, as well as the quality and integrity of data inputs, formulas or algorithms, could result in inaccurate forecasts, ineffective risk management practices or inaccurate risk reporting.",1
"At December 31, 2018, we had total debt of $3,856.9 million.","At December 31, 2019, we had total debt of $4.4 billion, including $3.5 billion related to senior notes and $0.9 billion related to term loans and amounts drawn under our revolving loan facility, in each case, under the Senior Credit Facility.",0
"Strategic development opportunities may not be successful and projects may not commence operation as scheduled or be completed, which could have a material adverse effect on our business prospects.","Strategic development opportunities associated with offshore wind or investment opportunities in electric transmission or clean-energy opportunities may not be successful, and projects may not commence operation as scheduled or be completed, which could have a material adverse effect on our business prospects.",0
"Compliance with these laws, regulations and similar requirements may be onerous and expensive, and they may be inconsistent from jurisdiction to jurisdiction, further increasing the cost of compliance and doing business.","Compliance with these laws and regulations may be onerous and expensive, increasing the cost of conducting the Company’s global operations.",0
"During 2018, approximately 76% of our sales were attributable to credit and debit card transactions, and credit and debit card usage could continue to increase.",The majority of our restaurant sales are made by credit or debit cards.,1
"If an event occurs that results in damage to one or more of such facilities, such as the damage caused by Hurricane Maria in Puerto Rico in September 2017, we may be unable to manufacture the relevant products at the previous levels or at all.","If an event occurs that results in damage to or closure of one or more of such facilities, such as the damage caused by Hurricane Maria in Puerto Rico in September 2017, we may be unable to manufacture or sterilize the relevant products at the previous levels or at all.",0
"For example, as part of a strategic review of our supply chain network, certain breweries and bottling lines were closed in recent years, and we have and continue to incur brewery closure costs.","For example, as part of a strategic review of our supply chain network, certain breweries and bottling lines were closed in recent years, and we have and continue to incur brewery closure costs, including charges associated with the planned closure of the Irwindale brewery in 2020.",0
"There is no assurance that coverage and reimbursement will be available outside of the United States and, even if it is available, whether the timing or the level of reimbursement will be sufficient to allow us to market our medicines.","There is no assurance that coverage and reimbursement will be available outside of the United States for our CF or future medicines, and, even if it is available, whether the timing or the level of reimbursement will be sufficient to allow us to market our medicines.",1
"Moreover, the amount and scope of insurance maintained against losses resulting from any such events or security breaches may not be sufficient to cover losses or otherwise adequately compensate for any disruptions to business that could result.","Moreover, the amount and scope of insurance may not be sufficient to cover losses or otherwise adequately compensate for any disruptions to business that could result.",0
Suppliers’ assertions are also assessed and considered in estimating costs and profit rates.,Supplier claims and assertions are also assessed and considered in estimating costs and profit rates.,1
"In addition, tenants may allocate less of their budgets to leasing space on our towers, as the industry is trending towards deploying increased capital to the development and implementation of new technologies.","In addition, if the industry trends toward deploying increased capital to the development and implementation of new technologies, then tenants may allocate less of their budgets to leasing space on our towers.",1
"During the year ended June 29, 2018, 42% of our revenue came from sales to our top 10 customers.","During the fiscal year ended June 28, 2019, 45% of our revenue came from sales to our top 10 customers.",1
"As a result, individual childrens and family entertainment products and properties often have short consumer life cycles.","As a result, entertainment products and properties often have short consumer life cycles.",1
"As of December 31, 2018, approximately 24% of our workforce was represented by various local labor unions.","As of December 31, 2019, approximately 24% of our workforce was covered by collective bargaining agreements.",1
"A product liability claim or judgment against us could also result in substantial and unexpected expenditures, affect consumer or customer confidence in our products, and divert management's attention from other responsibilities.","A product liability, warranty, or tort claim or judgment against us that is larger than those typically experienced in the regular course of business could also result in substantial and unexpected expenditures, affect consumer or customer confidence in our products, and divert management's attention from other responsibilities.",0
We cannot guarantee that state or federal regulators will authorize any projects or acquisitions that we may propose in the future.,We cannot guarantee that state or federal regulators will not challenge our safety practices or will authorize any projects or acquisitions that we may propose in the future.,0
We may not be able to pass price increases on to our customers and may not be able to secure adequate alternative sources of steel and aluminum on a timely basis.,We may not be able to pass price increases on to our customers and may not be able to secure adequate alternative sources on a timely basis.,1
"Our revenues and profitability may be exposed to potential risk if a contract is terminated or canceled, our customers encounter financial difficulties or file bankruptcy or disputes arise with our customers.",Our revenues and profitability can be exposed to potential risk if our customers encounter financial difficulties or file bankruptcy or disputes arise with our customers.,0
No assurances can be made that the government will not request changes to the agreement in the future.,The government may request changes to the agreement in the future.,1
"Non-compliance with the GDPR can trigger fines of up to €20 million or 4% of total worldwide annual revenue, whichever is greater.",Noncompliance with the GDPR can trigger significant fines.,1
"Additionally, the UTP Operating Committee approved Nasdaq’s proposal to transfer the processor technology from its current enhanced platform to our INET platform.",Nasdaq transferred the processor technology platform to our INET platform and this migration further enhanced the resiliency of the processor systems.,0
"For example, the Federal Reserve maintains a variety of stimulus policy measures designed to maintain a low interest rate environment.","For example, the Federal Reserve initiated a round of interest rate cuts designed to maintain economic expansion.",0
We could be hurt by efforts to impose liabilities or obligations on persons with regard to labor law violations by other persons whose employees perform contracted services.,"We could be held responsible for obligations of, and labor law violations by, our subcontractors and other contract parties.",0
"Following the U.S. Supreme Court’s decision, the EPA and the Corps issued a final rule in January 2018 staying implementation of the WOTUS rule for two years while the agencies reconsider the rule, but a federal judge barred the agencies’ suspension of the rule in August 2018.","In October 2019, the EPA issued a final rule repealing the WOTUS rule and the repeal rule became effective in December 2019.",0
We are continuing to integrate the Dollar Tree and Family Dollar systems.,"Our ability to effectively manage our business and coordinate the distribution and sale of our merchandise depends significantly on the reliability, integrity and capacity of these systems and on our ability to successfully integrate the Dollar Tree and Family Dollar systems.",0
We offer our products and services in competitive markets.,"We offer our technologies, products and services in competitive markets.",1
"Consequently, the effect of an economic downturn may have a magnified negative effect on our business.","Consequently, the effect of an economic downturn may have a magnified negative effect on material portions of our business.",0
"NRG may be unable to fully implement the components of the Transformation Plan, in which case, NRG would not realize the anticipated benefits.","NRG may be unable to fully implement the remaining margin enhancement activities under the Transformation Plan, in which case, NRG would not realize the full anticipated benefits.",1
Qualification for the incentive payments requires the use of EHRs that have certain capabilities for meaningful use pursuant to evolving standards adopted by CMS and ONC.,Qualification for the MIPS incentive payments requires the use of EHRs that are certified as having certain capabilities designated in standards adopted by CMS and by the ONC.,1
"Larger acquisitions, such as our acquisition of the Waterpik business in 2017, may require us to significantly increase our levels of debt.",Larger acquisitions may require us to significantly increase our levels of debt.,1
"Regulation of CO2 emissions could materially increase costs, causing some electric generating units to be uneconomical to operate or maintain.","Regulation or legislation mandating CO2 emissions reductions or other clean energy standards could materially increase costs, causing some electric generating units to be uneconomical to operate or maintain.",0
"The need to ensure proper functioning and resiliency of these systems has become more challenging, and the costs involved in that effort continue to be high.","The need to ensure proper functioning and resiliency of our information systems and other technology has become more important and more challenging, and the costs involved in that effort continue to be high.",0
"Additionally, we continuously upgrade our customer facing software applications, specifically the ClinCheck and MyAligntech software.","Additionally, we continuously upgrade our customer facing software applications, specifically the ClinCheck software, MyAligntech and the Invisalign Doctor Site.",1
"The United States has implemented tariffs on imported steel and aluminum, as well as certain other listed products imported from China.",The United States has implemented tariffs on imported steel and aluminum.,0
Competition for the personnel required for our businesses intensifies as activity increases.,Competition for the personnel required for our businesses intensifies as activity increases and technology evolves.,1
We do not have long-term agreements with any of our assembly or test subcontractors and typically procure services from these suppliers on a per order basis.,"For those assembly and test subcontractors with whom we do not have long-term agreements, we typically procure services from these suppliers on a per-order basis.",1
"Under these valuation approaches, we are required to make various judgmental assumptions about appropriate discount rates.","Under these valuation approaches, we are required to make various judgmental assumptions about appropriate sales, operating margins, growth rates, royalty rates and discount rates, amongst other assumptions.",0
"In addition, catastrophic events occurring in other regions of the world may have an impact on Comerica's customers and in turn, on Comerica.","Further, catastrophic events may have an impact on Comerica's customers and in turn, on Comerica.",1
"The medical technology industry has also experienced a significant amount of consolidation, resulting in companies with greater market presence.","The medical technology industry has also experienced a significant amount of consolidation, resulting in companies with greater scale and market presence than BD.",1
"For example, the 2017 U.S. Tax Cuts and Jobs Act (2017 Act) significantly changed income tax laws that affect U.S. corporations.","The U.S. enacted the Tax Cuts and Jobs Act (the 2017 Act) on December 22, 2017, as a result of which we recognized in fiscal 2018 a provisional amount of $214.6 million as reasonable estimate of the impact of the provisions of the 2017 Act.",0
"Declines in demand for electricity as a result of economic downturns in Houston Electric’s and Indiana Electric’s regulated electric service territories will reduce overall sales and lessen cash flows, especially as industrial customers reduce production and, therefore, consumption of electricity.","Declines in demand for natural gas in NGD’s territories due to recent pipeline incidents of other utilities and for electricity as a result of economic downturns in Houston Electric’s and Indiana Electric’s regulated electric service territories will reduce overall sales and lessen cash flows, especially as industrial customers reduce production and, therefore, consumption of electricity.",0
"For example, interest rates remaining low for a long time may, at some point, cause us to change our sales goals, exit a certain business, and/or change our business model.","For example, we must consider the impact of the prolonged low interest rate environment on new product development and continued sales of interest sensitive products.",1
"As of December 31, 2018, 80 of our properties were available for lease or sale, of which 77 were single-tenant properties.","As of December 31, 2019, 94 of our properties were available for lease or sale.",1
"For example, in 2016 in Mountain View, California, the voters passed a referendum that limits rent increases on existing tenants (but not on new move-ins) in communities built before 1995.","For example, in 2019 the State of California adopted statewide rent control for communities older than fifteen years, limiting rent increases to the lesser of 10% or 5% plus local CPI.",0
"Our principal intellectual property rights include registered and common law trademarks on our name, “Ulta Beauty,” “Ulta,” “All Things Beauty.","Our principal intellectual property rights include registered and common law trademarks on “The Possibilities are Beautiful.®,” “Ulta Beauty,” “Ulta,” and other marks incorporating our name and “All Things Beauty.",1
"These laws and regulations are becoming increasingly stringent, resulting in inherent uncertainties in these estimates.",There are inherent uncertainties in these estimates.,0
"Cybersecurity breaches and attacks on our platform could lead to significant costs and disruptions that could harm our business, financial results and reputation.","Cybersecurity breaches and attacks on us, as well as steps we need to take to prevent them, could lead to significant costs and disruptions that harm our business, financial results and reputation.",1
"The Registrants could make investments in new business initiatives, including initiatives mandated by regulators, and markets that may not be successful, and acquisitions could not achieve the intended financial results (All Registrants).","The Registrants could make acquisitions or investments in new business initiatives and new markets, which may not be successful or achieve the intended financial results (All Registrants).",1
"States could elect to prohibit high volume hydraulic fracturing altogether, following the approach taken by the State of New York.","States could elect to prohibit hydraulic fracturing or high volume hydraulic fracturing altogether, following the approach taken by states of Vermont, Maryland, and New York.",1
We expect continued store growth over the next five years in Canada and Mexico.,We operate stores in Canada and Mexico.,0
"The agreement requires Office Depot to buy, and us to supply, at least 50% of Office Depot's requirements for commodity office papers through December 2019.","Effective January 1, 2020, we have a revised agreement with Office Depot in which we will continue to supply commodity and non-commodity office papers to Office Depot through December 31, 2022.",1
"The Company's ability to achieve sales growth also depends on foreign currency fluctuations, a weakening of foreign currencies in which sales are generated relative to the currencies in which costs are denominated would decrease net sales.",The Company’s ability to achieve sales growth also depends on foreign currency fluctuations.,0
"In January 2019, we issued $5 billion aggregate amount of senior notes to finance, in part, the JLT Transaction.","In 2019 alone, we incurred $6.5 billion of additional debt to finance the JLT acquisition.",1
"The Tax Act’s “base erosion and anti-abuse tax” provisions, or regulations issued thereunder, could adversely impact our ongoing effective tax rate by imposing taxes on our intercompany transactions and limiting our ability to deduct certain expenses.","The Tax Act’s “base erosion and anti-abuse tax” provisions, and regulations issued thereunder, adversely impact our effective tax rate by limiting our ability to deduct certain expenses.",0
"A violation or change in employment laws and/or regulations could have a material adverse effect on our results of operations, financial condition and cash flows.","A violation or change in employment and labor laws (including changes in existing employment benefit programs such as health insurance) could have a material adverse effect on our results of operations, financial condition and cash flows.",0
We have received an opinion from outside tax counsel to the effect that the Distribution qualifies as a transaction that is described in Sections 355 and 368(a)(1)(D) of the Internal Revenue Code.,"We have received an opinion from outside tax counsel to the effect that our distribution of 100% of the outstanding common stock of PayPal to our stockholders on July 17, 2015 (the “Distribution”) qualifies as a transaction that is described in Sections 355 and 368(a)(1)(D) of the Internal Revenue Code.",1
"Delays in opening distribution centers could adversely affect our future financial performance by slowing store growth, which may in turn reduce revenue growth, or by increasing transportation costs.","Delays in opening such facilities could adversely affect our financial performance by slowing store growth, which may in turn reduce revenue growth, or by increasing transportation costs.",1
JPMorgan Chase’s risk management and monitoring processes seek to quantify and mitigate risk to more extreme market moves.,"JPMorgan Chase’s risk management and monitoring processes, including its stress testing framework, seek to quantify and control JPMorgan Chase’s exposure to more extreme market moves.",0
Approximately 35% of these employees are represented by unions or works councils.,Approximately 22% of these employees are represented by unions or works councils.,1
Our future results may be adversely impacted if we do not effectively manage our expanded operations as a result of the Fidelis Care Acquisition.,Our future results may be adversely impacted if we do not effectively manage our expanded operations following the completion of the WellCare Acquisition.,1
"Changes in customer base and product mix result primarily from business acquisitions, changes in customer demand, customer acquisitions, selling and marketing activities and competition.","Changes in customer base and product mix result primarily from business acquisitions, changes in customer demand, customer acquisitions, selling and marketing activities, competition and the increased use of eCommerce by Grainger and its competitors.",1
"There may be circumstances in which required payments of principal and/or interest on this new debt could adversely affect our cash flows, our operating results or our ability to return capital to our shareholders through dividends or stock repurchases.","There may be circumstances in which required payments of principal and/or interest on our debt could adversely affect our cash flows, our operating results or our ability to return capital to our shareholders.",1
"We may not be able to complete transactions on favorable terms, on a timely basis, or at all, and during integration we may discover cybersecurity and compliance issues.","We may not be able to complete transactions on favorable terms, on a timely basis, or at all.",0
Any failure to implement our initiatives could adversely affect our business or financial results.,Any failure to implement our initiatives could adversely affect our ability to grow margins.,1
"Among other things, this further development and maintenance will require a reliable network backbone with the necessary speed, data capacity, security, and timely development of complementary products for providing reliable Internet access and services.","This requires a reliable network backbone with the necessary speed, data capacity, security, and timely development of complementary products for providing reliable Internet access and services.",1
"In connection with the completion of our pending acquisition of Microsemi, our balance of goodwill and intangible assets will increase significantly.","In connection with the completion of our acquisition of Microsemi in May 2018, our balance of goodwill and intangible assets increased significantly.",0
"As of December 31, 2018, we had $788 million of total debt outstanding.","As of December 31, 2019, we had $1,029.1 million of total debt outstanding.",1
"Although many of our off-highway markets began to recover in 2017 and 2018, additional deterioration, or renewed weakness, in infrastructure and commodities markets could adversely affect our customers’ demand for vehicles and equipment and, as a result, could adversely affect our business.","Deterioration, or renewed weakness, in infrastructure and commodities markets could adversely affect our customers’ demand for vehicles and equipment and, as a result, could adversely affect our business.",1
Climate change may have a long-term adverse impact on our business and results of operations.,Climate change and legal or regulatory responses thereto may have a long-term adverse impact on our business and results of operations.,0
The acquisition of existing properties is subject to risks that may adversely affect our growth and financial results.,The acquisition of existing properties or self-storage operating companies is subject to risks that may adversely affect our growth and financial results.,0
"It is possible that any of its supplier relationships could be interrupted due to natural and other disasters and other events, or be terminated in the future.","Supplier relationships have been and could be interrupted in the future due to natural and other disasters and other events, or be terminated.",0
"We have acquired, or in-licensed, a number of other assets and we expect to continue to support our pipeline with compounds or products obtained through licensing and acquisitions.","We have acquired, or in-licensed, a number of other assets and although we are committed to reducing our debt, we expect to continue to support our pipeline with compounds or products obtained through licensing and acquisitions.",0
"As of December 31, 2018, the Company had 50 consolidated communities encumbered by debt.","As of December 31, 2019, the Company had 24 consolidated communities encumbered by debt.",1
MDI therapy has been made more effective by the introduction of long-acting insulin analogs that can be used in combination with bolus devices.,MDI therapy involves a user injecting themselves with both long-acting and short-acting insulin with a syringe or insulin pen.,0
We are in the process of a multi-year implementation of a new ERP system which we intend to replace our existing operating and financial systems.,We are in the process of a multi-year implementation of a new ERP system which we intend to replace our existing operating and financial systems in fiscal 2020 and 2021.,1
"We seek to mitigate risks associated with sole and single source suppliers, when possible, by entering into long-term contracts that provide for an uninterrupted supply of products at predictable or fixed prices.",We also seek to enter into long-term contracts with our sole and single source suppliers that provide for an uninterrupted supply of products at predictable or fixed prices.,1
"The new regulations become effective in May 2020, which will require the Company to have all products it markets and sells in Europe certified before this date.",The new regulations are scheduled to become effective in May 2020.,0
The reception to our licensed sports games may be adversely impacted by circumstances outside our control impacting the sports leagues and organizations.,"The reception to our sports games also depends, in part, on the popularity, reputation and brand of the leagues, organizations and individual athletes with whom we partner.",0
The uncertain effects of potential climate change legislation could lead to significantly increased costs.,"The uncertain effects of climate change and potential climate change legislation could lead to business interruption, significantly increased costs and/or other adverse consequences to our business.",0
THE USMCA must be ratified by all three countries before it becomes fully effective and many of its provisions will not take effect until 2020.,The USMCA must be ratified by all three countries before it becomes fully effective.,0
"Further, if current efforts to legalize gaming in other Asian countries, such as Japan, are successful, we will face additional regional competition.","Additionally, certain other Asian countries and regions have legalized or in the future may legalize gaming, such as Japan, Taiwan and Thailand, which could increase competition for our Macau Operations.",0
"Its after-tax net income will be available for distribution to us, but it is not required to be so distributed.","The after-tax net income of our TRS will be available for distribution to us as a taxable dividend to the extent of its earnings and profits, but it is not required to be so distributed.",0
Volatile and/or uncertain economic conditions can adversely impact sales and profitability and make it difficult for us and our competitors to accurately forecast and plan our future business activities.,"Volatile or uncertain economic conditions, as well as continuing political unrest in markets in which we conduct significant business, including Hong Kong, can adversely impact sales and profitability and make it difficult for us and our competitors to accurately forecast and plan our future business activities.",0
"Additionally, the Charter Operating credit facilities require Charter Operating to comply with a maximum total leverage covenant and a maximum first lien leverage covenant.","Additionally, the Charter Communications Operating, LLC (""Charter Operating"") credit facilities require Charter Operating to comply with a maximum total leverage covenant and a maximum first lien leverage covenant.",1
"Revenue provided by Dominion Energy and Virginia Powers electric transmission, distribution and generation operations and Dominion Energy and Dominion Energy Gas gas transmission and distribution operations is based primarily on rates approved by state and federal regulatory agencies.","Revenue provided by the Companies’ electric transmission, distribution and generation operations and by gas transmission and distribution operations is based primarily on rates approved by state and federal regulatory agencies.",1
Estimates for the amount and timing of the future funding obligations of these pension plans and postretirement health and welfare benefit plans are based on various assumptions.,"Estimates for the amount and timing of the future funding obligations of these pension plans and postretirement health and welfare benefit plans are based on various assumptions, including discount rates, expected long-term rate of return on plan assets, life expectancies and health care cost trend rates.",0
